     0.378 D | [Theme] Icon Theme Folder Path:  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/iconthemes"
     0.378 D | [Theme] <> Icon themes initialized.
     0.378 D | [Theme] Determining System Widget Theme...
     0.378 D | [Theme] System theme seems to be: ""
     0.378 D | [Theme] <> Initializing Widget Themes
     0.378 D | [Theme] Loading Built-in Theme: "system"
     0.378 D | [Theme] Loading Built-in Theme: "dark"
     0.378 D | [Theme] Loading Built-in Theme: "bright"
     0.378 D | [Theme] <> Initializing System Widget Themes
     0.378 D | [Theme] Loading System Theme: "windowsvista"
     0.378 D | [Theme] Loading System Theme: "Windows"
     0.378 D | [Theme] Loading System Theme: "Fusion"
     0.379 D | [Theme] Theme Folder Path:  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/themes"
     0.379 D | [Theme] <> Widget themes initialized.
     0.379 D | [Theme] CatPacks Folder Path: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/catpacks"
     0.410 D | Setting Icons
     0.410 D | Setting Cat
     0.410 D | [Theme] applying catpack "kitteh"
     0.564 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     0.795 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     0.795 D | Got translations index!
     0.812 W | QAbstractItemModel::endInsertRows:  Invalid index ( 79 , 0 ) in model TranslationsModel(0x1d55aefe640)
     0.813 W | QAbstractItemModel::endInsertRows:  Invalid index ( 79 , 1 ) in model TranslationsModel(0x1d55aefe640)
     1.389 W |   OpenType support missing for "Segoe UI", script 20
     1.389 W |   OpenType support missing for "Tahoma", script 20
     1.390 W |   OpenType support missing for "Arial", script 20
     1.390 W |   OpenType support missing for "MS UI Gothic", script 20
     1.391 W |   OpenType support missing for "SimSun", script 20
     1.391 W |   OpenType support missing for "Segoe UI Emoji", script 20
     1.392 W |   OpenType support missing for "Segoe UI Symbol", script 20
     1.448 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     1.574 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     1.661 D | Loading Application Language File for en_GB ...
     1.661 D | Got translation: "en_GB"
     1.661 D | Loading Application Language File for en_GB ...
     1.685 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     1.757 D | Loading Application Language File for en_GB ...
     1.774 D | Dir changed: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations"
     1.886 D | Loading Application Language File for en_GB ...
     1.886 D | Got translation: "en_GB"
     1.887 D | Loading Application Language File for en_GB ...
     5.990 D | Probing the following Java paths: 
     5.990 D |   "C:/Program Files/Java/jre8/bin/javaw.exe"
     5.990 D |   "C:/Program Files/Java/jre7/bin/javaw.exe"
     5.990 D |   "C:/Program Files/Java/jre6/bin/javaw.exe"
     5.990 D |   "C:/Program Files (x86)/Java/jre8/bin/javaw.exe"
     5.990 D |   "C:/Program Files (x86)/Java/jre7/bin/javaw.exe"
     5.990 D |   "C:/Program Files (x86)/Java/jre6/bin/javaw.exe"
     5.990 D |   "javaw"
     5.990 D |   ""
     5.990 D |   "D:/Apps/Ruby33-x64/bin/javaw.exe"
     5.990 D |   "C:/VulkanSDK/1.3.280.0/Bin/javaw.exe"
     5.990 D |   "C:/Windows/system32/javaw.exe"
     5.990 D |   "C:/Windows/javaw.exe"
     5.990 D |   "C:/Windows/System32/Wbem/javaw.exe"
     5.990 D |   "C:/Windows/System32/WindowsPowerShell/v1.0//javaw.exe"
     5.990 D |   "C:/Windows/System32/OpenSSH//javaw.exe"
     5.991 D |   "C:/Program Files (x86)/NVIDIA Corporation/PhysX/Common/javaw.exe"
     5.991 D |   "C:/WINDOWS/system32/javaw.exe"
     5.991 D |   "C:/WINDOWS/javaw.exe"
     5.991 D |   "C:/WINDOWS/System32/Wbem/javaw.exe"
     5.991 D |   "C:/WINDOWS/System32/WindowsPowerShell/v1.0//javaw.exe"
     5.991 D |   "C:/WINDOWS/System32/OpenSSH//javaw.exe"
     5.991 D |   "C:/Program Files/dotnet//javaw.exe"
     5.991 D |   "C:/Program Files/NVIDIA Corporation/NVIDIA App/NvDLISR/javaw.exe"
     5.991 D |   "C:/Program Files/Git/cmd/javaw.exe"
     5.991 D |   "C:/Program Files/GitHub CLI//javaw.exe"
     5.991 D |   "C:/ProgramData/chocolatey/bin/javaw.exe"
     5.991 D |   "D:/Apps/GO/bin/javaw.exe"
     5.991 D |   "C:/Program Files (x86)/Windows Kits/10/Windows Performance Toolkit//javaw.exe"
     5.991 D |   "C:/Program Files/Docker/Docker/resources/bin/javaw.exe"
     5.991 D |   "D:/Apps/CMake/bin/javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/Programs/Python/Python312/Scripts//javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/Programs/Python/Python312//javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/Programs/Python/Launcher//javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/Microsoft/WindowsApps/javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/spicetify/javaw.exe"
     5.991 D |   "C:/ProgramData/colin/GitHubDesktop/bin/javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/Programs/Microsoft VS Code/bin/javaw.exe"
